epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,3769.23,1.43311,0.7922,1.27551,0.83901,0.80177,0.84475,0.48847,1.39468,0.79586,1.35249,0.00112625,0.00112625,0.00112625
10,4184.33,1.42063,0.77318,1.27246,0.85614,0.7908,0.85191,0.49362,1.39841,0.77678,1.35471,0.00111078,0.00111078,0.00111078
11,4598.98,1.41898,0.77976,1.27694,0.83718,0.78084,0.83346,0.48932,1.37791,0.8141,1.3483,0.00109531,0.00109531,0.00109531
12,5014.17,1.41042,0.77339,1.27722,0.82722,0.80731,0.84901,0.50212,1.36462,0.78519,1.33402,0.00107984,0.00107984,0.00107984
13,5428.83,1.40912,0.76311,1.26784,0.83283,0.8123,0.85117,0.50111,1.3848,0.80289,1.34964,0.00106437,0.00106437,0.00106437
14,5843.94,1.41636,0.75305,1.26666,0.828,0.83039,0.86019,0.5046,1.38063,0.78326,1.34026,0.00104891,0.00104891,0.00104891
15,6260.34,1.41767,0.75893,1.26931,0.85695,0.80911,0.85737,0.49977,1.37769,0.7718,1.3408,0.00103344,0.00103344,0.00103344
16,6675.34,1.4096,0.75044,1.25815,0.84527,0.81346,0.8582,0.50114,1.37545,0.78123,1.34555,0.00101797,0.00101797,0.00101797
17,7090.46,1.404,0.73642,1.25228,0.85254,0.78107,0.84598,0.49117,1.37598,0.78984,1.33081,0.0010025,0.0010025,0.0010025
18,7505.3,1.38384,0.73187,1.24556,0.88606,0.78416,0.85277,0.50205,1.36665,0.77017,1.33621,0.000987031,0.000987031,0.000987031
19,7920.37,1.391,0.73656,1.24385,0.86255,0.80295,0.85573,0.50252,1.36567,0.77136,1.32791,0.000971562,0.000971562,0.000971562
20,8334.24,1.37491,0.72552,1.24349,0.86622,0.81039,0.8644,0.51174,1.36555,0.75016,1.33707,0.000956094,0.000956094,0.000956094
21,8748.56,1.37005,0.73073,1.24801,0.84144,0.81041,0.85253,0.50432,1.36223,0.77255,1.3232,0.000940625,0.000940625,0.000940625
22,9162.62,1.37617,0.72957,1.23966,0.85498,0.80388,0.85072,0.50975,1.3616,0.752,1.33091,0.000925156,0.000925156,0.000925156
